year,problem_num,mean_score
1959,p1,2.7777777777777777
1959,p2,6.111111111111111
1959,p3,4.222222222222222
1959,p4,2.111111111111111
1959,p5,1.4444444444444442
1959,p6,2.5555555555555554
1960,p1,3.8
1960,p2,2.6
1960,p3,1.1999999999999997
1960,p4,3.6
1960,p5,1.8
1960,p6,1.6999999999999997
1961,p1,3.2222222222222223
1961,p2,3.111111111111111
1961,p3,2.5555555555555554
1961,p4,2.6666666666666665
1961,p5,3
1961,p6,1.8888888888888888
1962,p1,5.411764705882353
1962,p2,4.529411764705882
1962,p3,4.882352941176471
1962,p4,3.9411764705882355
1962,p5,4.176470588235294
1962,p6,2.2352941176470593
1963,p1,3.5
1963,p2,3.25
1963,p3,1.9375
1963,p4,1.375
1963,p5,2.375
1963,p6,6.0625
1964,p1,5.235294117647059
1964,p2,3.2941176470588243
1964,p3,5.0588235294117645
1964,p4,2.4705882352941178
1964,p5,3.647058823529412
1964,p6,5.823529411764706
1965,p1,2.7375000000000003
1965,p2,2.6999999999999984
1965,p3,4.024999999999998
1965,p4,4.1875
1965,p5,3.787500000000002
1965,p6,2.75
1966,p1,5.333333333333333
1966,p2,6.037037037037036
1966,p3,4.666666666666666
1966,p4,4.703703703703703
1966,p5,5
1966,p6,7.333333333333334
1967,p1,3.72972972972973
1967,p2,4.054054054054053
1967,p3,3.324324324324325
1967,p4,4.243243243243244
1967,p5,3.5675675675675667
1967,p6,5.054054054054053
1968,p1,4.428571428571427
1968,p2,6.065934065934066
1968,p3,4.043956043956044
1968,p4,3.5714285714285725
1968,p5,4.593406593406591
1968,p6,5.31868131868132
1969,p1,2.553571428571427
1969,p2,4.366071428571427
1969,p3,4.196428571428573
1969,p4,2.2678571428571423
1969,p5,4.178571428571427
1969,p6,2.4375
1970,p1,3.4857142857142858
1970,p2,5.942857142857143
1970,p3,1.5142857142857151
1970,p4,4.942857142857143
1970,p5,3.3714285714285723
1970,p6,2.400000000000001
1971,p1,2.3214285714285716
1971,p2,1.8928571428571432
1971,p3,0.7857142857142854
1971,p4,2.5
1971,p5,1.3928571428571432
1971,p6,0.5
1972,p1,3.0606060606060597
1972,p2,3.757575757575758
1972,p3,2.333333333333333
1972,p4,4.909090909090909
1972,p5,2.818181818181817
1972,p6,3.87878787878788
1973,p1,2.5760000000000027
1973,p2,2.687999999999999
1973,p3,3.9919999999999978
1973,p4,3.864
1973,p5,3.3759999999999977
1973,p6,1.128
1974,p1,4.514285714285715
1974,p2,3.764285714285712
1974,p3,2.8071428571428623
1974,p4,5.064285714285713
1974,p5,3.100000000000003
1974,p6,3.100000000000004
1975,p1,4.7265625
1975,p2,4.1640625
1975,p3,4.046875
1975,p4,3.4921875
1975,p5,2.8125
1975,p6,2.796875
1976,p1,2.6115107913669067
1976,p2,1.9352517985611486
1976,p3,3.1151079136690654
1976,p4,3.7553956834532354
1976,p5,1.093525179856115
1976,p6,4.589928057553957
1977,p1,5.216216216216216
1977,p2,3.0540540540540544
1977,p3,3.4594594594594597
1977,p4,3.2162162162162153
1977,p5,3.4594594594594597
1977,p6,3.054054054054053
1978,p1,4.4375
1978,p2,2.6041666666666656
1978,p3,3.3125
1978,p4,4.104166666666666
1978,p5,5.166666666666666
1978,p6,0.9166666666666663
1979,p1,1.650602409638556
1979,p2,3.0843373493975896
1979,p3,3.8072289156626526
1979,p4,4.349397590361444
1979,p5,3.126506024096385
1979,p6,3.74698795180723
1981,p1,5.490196078431372
1981,p2,6.274509803921569
1981,p3,5.215686274509803
1981,p4,6.274509803921569
1981,p5,6.274509803921569
1981,p6,6.509803921568628
1982,p1,4.613445378151263
1982,p2,1.294117647058822
1982,p3,3.042016806722692
1982,p4,3.7815126050420207
1982,p5,5.504201680672271
1982,p6,2.5546218487394934
1983,p1,3.5750000000000006
1983,p2,2.849999999999999
1983,p3,3.5749999999999993
1983,p4,4.050000000000001
1983,p5,2.150000000000001
1983,p6,2.125
1984,p1,4.5572916666666705
1984,p2,3.213541666666671
1984,p3,1.5833333333333306
1984,p4,4.453125
1984,p5,2.53125
1984,p6,1.46875
1985,p1,4.086124401913874
1985,p2,3.741626794258376
1985,p3,0.7846889952153134
1985,p4,2.411483253588517
1985,p5,1.8468899521531126
1985,p6,2.019138755980861
1986,p1,3.8333333333333366
1986,p2,4.052380952380949
1986,p3,0.8714285714285736
1986,p4,3.2809523809523777
1986,p5,4.152380952380953
1986,p6,1.9476190476190514
1987,p1,3.4641350210970527
1987,p2,4.704641350210965
1987,p3,2.156118143459918
1987,p4,3.523206751054851
1987,p5,4.248945147679322
1987,p6,1.8270042194092855
1988,p1,3.94776119402985
1988,p2,3.2276119402985026
1988,p3,1.7313432835820937
1988,p4,2.3320895522388003
1988,p5,3.320895522388053
1988,p6,0.6343283582089537
1989,p1,3.037800687285224
1989,p2,4.226804123711345
1989,p3,1.3367697594501742
1989,p4,3.9896907216494877
1989,p5,3.8075601374570573
1989,p6,2.5257731958762832
1990,p1,2.876623376623381
1990,p2,3.542207792207786
1990,p3,2.0909090909090886
1990,p4,2.954545454545447
1990,p5,4.194805194805201
1990,p6,1.5032467532467564
1991,p1,3.798076923076927
1991,p2,4.221153846153839
1991,p3,2.5576923076923004
1991,p4,3.128205128205121
1991,p5,3.8012820512820573
1991,p6,1.8076923076922993
1992,p1,3.648571428571439
1992,p2,2.962857142857147
1992,p3,1.9028571428571446
1992,p4,3.5
1992,p5,0.7571428571428597
1992,p6,2.2542857142857144
1993,p1,2.026634382566574
1993,p2,1.9322033898305053
1993,p3,1.1307506053268732
1993,p4,2.302663438256648
1993,p5,3.3825665859564236
1993,p6,1.8159806295399525
1994,p1,2.561038961038965
1994,p2,5.002597402597392
1994,p3,3.932467532467542
1994,p4,3.342857142857133
1994,p5,3.220779220779232
1994,p6,2.090909090909099
1995,p1,5.055825242718438
1995,p2,1.708737864077678
1995,p3,3.1262135922330168
1995,p4,4.592233009708726
1995,p5,3.410194174757272
1995,p6,1.0582524271844627
1996,p1,3.17452830188679
1996,p2,2.0306603773584824
1996,p3,2.3985849056603836
1996,p4,2.120283018867912
1996,p5,0.49292452830188854
1996,p6,2.2429245283018777
1997,p1,2.476086956521749
1997,p2,3.8978260869565284
1997,p3,1.778260869565223
1997,p4,3.7434782608695767
1997,p5,3.3543478260869617
1997,p6,0.8152173913043504
1998,p1,3.205250596658721
1998,p2,2.735083532219577
1998,p3,1.7613365155131218
1998,p4,3.4630071599045458
1998,p5,2.930787589498791
1998,p6,0.6778042959427262
1999,p1,4.297777777777791
1999,p2,1.6711111111111188
1999,p3,1.5844444444444454
1999,p4,2.808888888888891
1999,p5,1.811111111111105
1999,p6,1.1511111111111145
2000,p1,4.095444685466384
2000,p2,2.7678958785249517
2000,p3,0.6550976138828613
2000,p4,3.1822125813448943
2000,p5,1.6334056399132295
2000,p6,1.0498915401301554
2001,p1,3.64482029598308
2001,p2,1.5496828752642606
2001,p3,0.8773784355179666
2001,p4,3.23255813953488
2001,p5,2.7293868921775797
2001,p6,0.7780126849894332
2002,p1,3.4488517745302687
2002,p2,3.5574112734864363
2002,p3,0.5908141962421664
2002,p4,3.8956158663883067
2002,p5,2.267223382045931
2002,p6,0.40918580375783287
2003,p1,3.557986870897164
2003,p2,2.304157549234124
2003,p3,0.40481400437637066
2003,p4,4.632385120350094
2003,p5,1.6126914660831426
2003,p6,0.5776805251641153
2004,p1,4.6028806584362085
2004,p2,2.761316872427984
2004,p3,1.0123456790123428
2004,p4,4.080246913580241
2004,p5,2.512345679012338
2004,p6,1.257201646090533
2005,p1,2.6140350877193073
2005,p2,3.0506822612085847
2005,p3,0.9122807017543815
2005,p4,3.7582846003898696
2005,p5,2.169590643274868
2005,p6,1.3450292397660872
2006,p1,5.614457831325305
2006,p2,1.8333333333333401
2006,p3,0.6586345381526161
2006,p4,4.997991967871487
2006,p5,1.1827309236947703
2006,p6,0.18674698795180755
2007,p1,3.3826923076923063
2007,p2,2.5192307692307714
2007,p3,0.3038461538461551
2007,p4,5.680769230769236
2007,p5,1.8980769230769183
2007,p6,0.1519230769230776
2008,p1,4.979439252336444
2008,p2,2.5626168224299106
2008,p3,0.8037383177570095
2008,p4,4.401869158878492
2008,p5,2.0766355140186996
2008,p6,0.2598130841121468
2009,p1,4.803539823008856
2009,p2,3.7097345132743245
2009,p3,1.0194690265486688
2009,p4,2.9150442477876224
2009,p5,2.474336283185846
2009,p6,0.1681415929203531
2010,p1,5.449612403100767
2010,p2,2.5775193798449716
2010,p3,0.4651162790697662
2010,p4,5.344961240310088
2010,p5,0.9321705426356655
2010,p6,0.36821705426356455
2011,p1,5.348134991118995
2011,p2,0.6536412078152799
2011,p3,1.0550621669626885
2011,p4,4.069271758436951
2011,p5,3.259325044404984
2011,p6,0.31793960923623493
2012,p1,5.625228519195609
2012,p2,2.550274223034716
2012,p3,0.4131627056672765
2012,p4,3.765996343692882
2012,p5,1.6636197440584948
2012,p6,0.33638025594150306
2013,p1,4.108159392789365
2013,p2,2.5256166982922332
2013,p3,0.7855787476280864
2013,p4,5.442125237191655
2013,p5,2.4516129032258
2013,p6,0.29601518026565393
2014,p1,5.348214285714287
2014,p2,2.9714285714285804
2014,p3,0.5053571428571411
2014,p4,5.18928571428573
2014,p5,1.7089285714285882
2014,p6,0.33928571428571475
2015,p1,4.306759098786818
2015,p2,1.3587521663778093
2015,p3,0.6533795493934171
2015,p4,4.793760831889068
2015,p5,1.5129982668977522
2015,p6,0.3552859618717548
2016,p1,5.272425249169427
2016,p2,2.0332225913621325
2016,p3,0.2508305647840533
2016,p4,4.74418604651165
2016,p5,1.6777408637873705
2016,p6,0.8056478405315691
2017,p1,5.943089430894314
2017,p2,2.3040650406504004
2017,p3,0.042276422764227294
2017,p4,5.029268292682945
2017,p5,0.9691056910568999
2017,p6,0.29430894308942973
2018,p1,4.934343434343444
2018,p2,2.9461279461279473
2018,p3,0.2777777777777812
2018,p4,3.961279461279471
2018,p5,2.695286195286213
2018,p6,0.6380471380471352
2019,p1,5.17874396135265
2019,p2,2.3993558776167583
2019,p3,0.5716586151368791
2019,p4,3.7359098228663425
2019,p5,3.566827697262475
2019,p6,0.40257648953301645
2020,p1,5.313311688311683
2020,p2,2.2483766233766342
2020,p3,0.9399350649350601
2020,p4,3.9383116883116736
2020,p5,2.7970779220779076
2020,p6,0.28246753246753026
2021,p1,4.394184168012937
2021,p2,0.37479806138933935
2021,p3,0.37156704361874027
2021,p4,3.8174474959612232
2021,p5,2.1518578352181157
2021,p6,0.48142164781905666
2022,p1,5.5398981324278544
2022,p2,4.305602716468605
2022,p3,0.8081494057724949
2022,p4,5.466893039049233
2022,p5,3.5195246179966206
2022,p6,0.682512733446523
2023,p1,5.844660194174751
2023,p2,3.161812297734628
2023,p3,1.2556634304207017
2023,p4,4.716828478964397
2023,p5,2.417475728155336
2023,p6,0.27508090614886466
2024,p1,5.5697865353037885
2024,p2,2.543513957307063
2024,p3,0.4367816091953994
2024,p4,4.85385878489326
2024,p5,2.246305418719219
2024,p6,0.3957307060755298
